title,star,rate
조제,7.11,35.78
이웃사촌,6.08,12.37
도굴,7.52,8.84
런,8.18,4.86
극장판 바이올렛 에버가든,9.51,2.99
러브 액츄얼리,8.94,2.66
언플랜드,10.00,2.35
리플레이,9.67,1.5
스웨그,9.55,1.41
그날이 온다,4.62,1.39
호프,9.67,1.3
800,4.50,1.23
럭키 몬스터,7.84,1.1
미드나이트 스카이,6.92,0.86
파티마의 기적,9.31,0.81
퍼스트 러브,0.00,0.66
삼진그룹 영어토익반,8.39,0.66
더 프롬,7.00,0.59
가나의 혼인잔치: 언약,9.58,0.55
피아니스트의 마지막 인터뷰,8.93,0.51
내언니전지현과 나,9.39,0.51
페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.25,0.46
이다,8.30,0.42
겨울밤에,8.18,0.4
콜드 워,8.25,0.37
프리키 데스데이 순한맛,7.68,0.37
스카이와 친구들: 로보시티의 비밀,8.00,0.33
라라랜드,8.61,0.31
잔칫날,9.37,0.31
레벨 16,6.76,0.29
킹덤 오브 헤븐: 디렉터스 컷,8.61,0.26
존 윅 3: 파라벨룸,8.00,0.26
프린세스 에미: 마법 책의 비밀,7.50,0.24
발레리안: 천 개 행성의 도시,7.79,0.24
마지막 휴가,9.36,0.2
노트북,9.05,0.18
누군가 어디에서 나를 기다리면 좋겠다,0.00,0.18
산티아고의 흰 지팡이,8.49,0.18
극장판 바다 탐험대 옥토넛 : 대산호초 보호작전,8.89,0.18
그리고 우린 춤을 추었다,8.22,0.15
안티고네,8.24,0.13
테넷,8.22,0.13
용루각: 비정도시,5.34,0.13
프리키 데스데이,6.88,0.11
머리카락,8.45,0.11
"이별유예, 일주일",9.30,0
부활: 그 증거,9.41,0.07
나의 인생여행,7.67,0.07
동주,9.38,0.07
극장판 기븐,9.09,0.07
붉은 수수밭,8.36,0.07
극장판 미니특공대: 햄버거괴물의 습격,8.58,0.07
내가 죽던 날,8.11,0.07
소년시절의 너,9.40,0
에듀케이션,7.31,0.07
홍등,9.16,0.04
남매의 여름밤,8.96,0.04
담보,8.89,0.04
고양이 집사,9.09,0.04
몽상가들,8.12,0.04
증발,9.41,0.04
봉쇄수도원 카르투시오,9.36,0.04
장 미쉘 바스키아: 더 레이디언트 차일드,9.33,0.04
걸후드,8.34,0.04
개 같은 것들,0.00,0.04
화이트 갓,7.74,0.02
애비규환,7.35,0.02
웰컴 투 X-월드,8.67,0.02
맹크,7.24,0.02
인생,9.32,0.02
귀주 이야기,8.94,0.02
버든: 세상을 바꾸는 힘,8.17,0.02
어느 가족,9.21,0.02
글루미 선데이,9.06,0.02
지옥의 묵시록,8.41,0.02
마틴 에덴,8.70,0.01
교실 안의 야크,9.42,0.01
마리 퀴리,7.90,0.01
그린랜드,6.83,0.01
로맨틱 코미디,7.20,0.01
해리가 샐리를 만났을 때,8.91,0.01
극장판 포켓몬스터 뮤츠의 역습 EVOLUTION,8.17,0.01
세트플레이,7.83,0.01
"조제, 호랑이 그리고 물고기들",9.00,0.01
찬실이는 복도 많지,8.73,0.01
극장판 엉덩이 탐정: 텐텐마을의 수수께끼,8.42,0.01
뜨거운 것이 좋아,9.05,0.01
마티아스와 막심,8.35,0.01
밥정,9.60,0.01
사랑의 블랙홀,9.16,0.01
캡틴 판타스틱,8.67,0.01
69세,8.63,0.01
"가장 따뜻한 색, 블루",8.80,0.01
경계선,8.18,0.01
공포분자,8.63,0.01
날씨의 아이,7.98,0.01
남과 여: 여전히 찬란한,8.54,0.01
너의 이름은.,8.78,0.01
담쟁이,8.11,0.01
대전 블루스,7.55,0.01
도망친 여자,7.15,0.01
러브라인,8.20,0.01
레토,8.44,0.01
비긴 어게인,9.04,0.01
산상수훈,6.33,0.01
서칭 포 슈가맨,9.05,0.01
아비정전,8.51,0.01
아티스트,8.73,0.01
영화로운 나날,8.50,0.01
온워드: 단 하루의 기적,9.00,0.01
우먼 인 할리우드,9.26,0.01
워터 릴리스,9.03,0.01
이태원,9.21,0.01
종이꽃,9.00,0.01
지구 최후의 밤,7.46,0.01
"지금, 만나러 갑니다",9.35,0.01
타오르는 여인의 초상,9.06,0.01
톰보이,9.20,0.01
프란츠,8.66,0.01
해수의 아이,6.41,0.01
귀여운 여인,8.73,0
"님아, 그 강을 건너지 마오",9.23,0
당신이 잠든 사이에,9.08,0
미스 사이공: 25주년 특별 공연,9.20,0
부다페스트 느와르,7.67,0
워낭소리,8.68,0
